i,j,hit rate,dist
z,t,0.51,0.705551651
z,c,0.806,0.962342971
z,g,1,2.423282558
z,j,0.894,1.069434307
z,sh,0.824,1.01260428
z,x,0.986,1.44721156
z,m,1,2.72385576
z,l,1,2.822140965
z,f,0.708,0.86195953
z,p,0.73,0.898957213
z,b,1,2.082352485
z,h,1,2.464786253
z,s,0.98,1.349490737
z,k,1,1.994826741
z,d,0.998,1.725638169
z,zh,0.564,0.734110629
z,ch,0.794,0.977917962
z,n,1,2.455361734
z,r,1,2.472369518
z,q,0.992,1.477853501
t,c,0.942,1.217868165
t,g,1,2.100260295
t,j,0.982,1.374994997
t,sh,0.656,0.807137452
t,x,0.998,1.909078787
t,m,1,2.563691813
t,l,1,2.60755657
t,f,0.236,0.461485473
t,p,0.234,0.477817663
t,b,1,1.719614525
t,h,1,1.8225206
t,s,1,1.927197274
t,k,0.97,1.277617366
t,d,0.966,1.38366533
t,zh,0.274,0.491181618
t,ch,0.446,0.646226912
t,n,1,2.2315163
t,r,1,2.167803089
t,q,1,1.872504284
c,g,1,3.349270656
c,j,1,1.76996095
c,sh,0.984,1.468920819
c,x,0.986,1.48759576
c,m,1,4.320110065
c,l,1,4.198821601
c,f,0.93,1.143490951
c,p,1,1.66129416
c,b,1,3.046809745
c,h,1,3.079699364
c,s,0.666,0.81858458
c,k,1,2.59040784
c,d,1,2.71735323
c,zh,0.996,1.646141867
c,ch,0.778,0.968209262
c,n,1,3.656534314
c,r,1,3.695369083
c,q,0.998,1.664563896
g,j,1,3.385371224
g,sh,1,3.092879495
g,x,1,4.099008562
g,m,0.282,0.50899881
g,l,0.852,1.01089377
g,f,1,2.046304058
g,p,1,1.777644426
g,b,0.392,0.611853885
g,h,0.992,1.467685401
g,s,1,4.040695868
g,k,0.964,1.325257546
g,d,0.814,1.000187797
g,zh,1,2.166067763
g,ch,1,2.966280364
g,n,0.802,0.969798032
g,r,0.89,1.089521904
g,q,1,4.165989
j,sh,0.988,1.465493529
j,x,0.874,1.049632013
j,m,1,3.802705773
j,l,1,3.646205111
j,f,1,1.857043092
j,p,1,1.693286498
j,b,1,3.000682563
j,h,1,3.496031863
j,s,1,1.843826106
j,k,1,3.083048374
j,d,1,2.548455177
j,zh,0.982,1.379642181
j,ch,0.996,1.737407798
j,n,1,3.205305055
j,r,1,3.306520071
j,q,0.826,0.985612183
sh,x,0.998,1.743912172
sh,m,1,4.100855233
sh,l,1,3.903796839
sh,f,0.976,1.264051639
sh,p,0.94,1.251604172
sh,b,1,2.711553202
sh,h,1,3.078589334
sh,s,1,1.943339558
sh,k,1,2.557715332
sh,d,1,2.272290971
sh,zh,0.714,0.884189508
sh,ch,0.482,0.696851653
sh,n,1,3.217784918
sh,r,1,3.251409421
sh,q,1,1.7038021
x,m,1,4.896342341
x,l,1,4.547556458
x,f,1,2.142457507
x,p,1,2.36555865
x,b,1,3.774682657
x,h,1,4.060140014
x,s,0.936,1.24296863
x,k,1,3.678467294
x,d,1,3.373412644
x,zh,1,2.054220537
x,ch,1,1.928330613
x,n,1,4.106000197
x,r,1,4.097897725
x,q,0.08,0.184480125
m,l,0.916,1.17892385
m,f,1,2.45954556
m,p,1,2.10076141
m,b,0.4,0.639374121
m,h,0.998,1.832177375
m,s,1,4.869048266
m,k,1,1.680286437
m,d,0.87,1.051881464
m,zh,1,2.503986994
m,ch,1,3.97449101
m,n,0.334,0.562231497
m,r,0.986,1.366595312
m,q,1,4.992751065
l,f,1,2.702731017
l,p,1,2.25241867
l,b,0.628,0.784962828
l,h,1,2.321822851
l,s,1,4.713845385
l,k,1,1.945865623
l,d,0.916,1.119010808
l,zh,1,2.520651476
l,ch,1,3.839494881
l,n,0.438,0.670452507
l,r,0.392,0.593430979
l,q,1,4.619691304
f,p,0.262,0.514484196
f,b,0.998,1.726315296
f,h,0.996,1.618950178
f,s,0.998,1.847687836
f,k,0.928,1.166246796
f,d,0.984,1.491930564
f,zh,0.796,0.964065555
f,ch,0.764,0.946062303
f,n,1,2.338781605
f,r,1,2.336321901
f,q,1,2.211590221
p,b,0.978,1.380737419
p,h,0.992,1.54795138
p,s,1,2.351489845
p,k,0.864,1.062692177
p,d,0.826,1.008539185
p,zh,0.258,0.5035819
p,ch,0.916,1.188628595
p,n,1,1.829807223
p,r,1,1.865544148
p,q,1,2.346385184
b,h,0.99,1.451734178
b,s,1,3.768296382
b,k,0.926,1.099830541
b,d,0.232,0.42406063
b,zh,1,1.73378322
b,ch,1,2.606962042
b,n,0.436,0.654826554
b,r,0.396,0.613795922
b,q,1,3.821247435
h,s,1,3.858593277
h,k,0.576,0.74592633
h,d,1,1.77119297
h,zh,1,2.359585571
h,ch,1,2.789341297
h,n,1,2.225791784
h,r,1,2.225240573
h,q,1,4.193427406
s,k,1,3.473190281
s,d,1,3.363177479
s,zh,1,2.16185959
s,ch,1,1.768164367
s,n,1,4.191990505
s,r,1,4.241386998
s,q,0.99,1.462150654
k,d,0.966,1.230330134
k,zh,1,1.8294876
k,ch,1,2.223157183
k,n,1,1.851906135
k,r,1,1.728536726
k,q,1,3.811572791
d,zh,0.964,1.291879263
d,ch,1,2.22542269
d,n,0.654,0.847529405
d,r,0.66,0.828618342
d,q,1,3.401079105
zh,ch,0.842,1.046406353
zh,n,1,2.081568876
zh,r,1,2.09015596
zh,q,1,2.029525052
ch,n,1,3.20421467
ch,r,1,3.229687442
ch,q,1,1.968364907
n,r,0.774,0.896379131
n,q,1,4.144888868
r,q,1,4.159099325
